dim,filtration_a,filtration_b,duration_all,duration_eigs,duration_L,duration_L_up,duration_L_down,duration_sum_up_down,L_rows,betti,lambda
0,4.994,5.01,0,0,0,0,0,0,130,84,0.781959
1,4.994,5.01,1,1,0,0,0,0,205,48,0.585786
2,4.994,5.01,0,0,0,0,0,0,162,89,1.51178
0,5.01,5.021,0,0,0,0,0,0,130,84,0.784901
1,5.01,5.021,1,0,0,0,0,0,206,47,0.585787
2,5.01,5.021,1,0,0,0,0,0,210,98,0.585784
0,5.021,5.023,0,0,0,0,0,0,130,83,0.784642
1,5.021,5.023,1,0,0,0,0,0,210,47,0.585785
2,5.021,5.023,1,0,0,0,0,0,216,99,0.585786
0,5.023,5.024,0,0,0,0,0,0,130,82,0.727317
1,5.023,5.024,1,0,0,0,0,0,212,48,0.585786
2,5.023,5.024,1,0,0,0,0,0,216,99,0.585786
0,5.024,5.042,0,0,0,0,0,0,130,81,0.681053
1,5.024,5.042,1,0,0,0,0,0,213,48,0.585785
2,5.024,5.042,1,0,0,0,0,0,216,99,0.585786
0,5.042,5.063,0,0,0,0,0,0,130,80,0.681053
1,5.042,5.063,1,0,0,0,0,0,214,48,0.585786
2,5.042,5.063,1,0,0,0,0,0,216,99,0.585786
0,5.063,5.069,0,0,0,0,0,0,130,80,0.685544
1,5.063,5.069,1,0,0,0,0,0,216,49,0.585786
2,5.063,5.069,1,1,0,0,0,0,216,99,0.585786
0,5.069,5.08,0,0,0,0,0,0,130,80,0.687576
1,5.069,5.08,1,0,0,0,0,0,218,49,0.585787
2,5.069,5.08,1,1,0,0,0,0,222,103,0.585786
0,5.08,5.099,0,0,0,0,0,0,130,80,0.687576
1,5.08,5.099,1,1,0,0,0,0,220,46,0.585786
2,5.08,5.099,1,1,0,0,0,0,228,107,0.585786
0,5.099,5.105,0,0,0,0,0,0,130,80,0.687702
1,5.099,5.105,1,1,0,0,0,0,222,43,0.585785
2,5.099,5.105,1,1,0,0,0,0,240,114,0.585787
0,5.105,5.114,0,0,0,0,0,0,130,80,0.69065
1,5.105,5.114,1,0,0,0,0,0,224,43,0.585786
2,5.105,5.114,1,1,0,0,0,0,249,118,0.585786
0,5.114,5.121,0,0,0,0,0,0,130,79,0.677471
1,5.114,5.121,1,1,0,0,0,0,226,43,0.585786
2,5.114,5.121,1,1,0,0,0,0,255,122,0.585785
0,5.121,5.136,0,0,0,0,0,0,130,78,0.639953
1,5.121,5.136,1,1,0,0,0,0,227,43,0.585786
2,5.121,5.136,1,1,0,0,0,0,255,122,0.585785
0,5.136,5.137,0,0,0,0,0,0,130,78,0.651999
1,5.136,5.137,1,1,0,0,0,0,228,43,0.585785
2,5.136,5.137,1,1,0,0,0,0,255,122,0.585785
0,5.137,5.143,0,0,0,0,0,0,130,78,0.653894
1,5.137,5.143,1,1,0,0,0,0,229,43,0.585786
2,5.137,5.143,1,1,0,0,0,0,255,122,0.585785
0,5.143,5.144,0,0,0,0,0,0,130,78,0.679966
